Epoch,Training_Loss,Training_Accuracy,Training_Time,Validation_Loss,Validation_Accuracy,Validation_Time
0,4.187769928588867,0.08408,389.2483546733856,3.6626555641174314,0.1432,46.2529501914978
0,4.161032010116577,0.08988,436.7801501750946,3.6271401306152344,0.1432,37.20006275177002
1,3.3680555170440676,0.1857,915.2652750015259,3.103752431869507,0.2386,37.19478249549866
2,2.9225335888671875,0.27196,1393.8045537471771,2.7555330364227295,0.3063,37.271613121032715
3,2.578356012687683,0.33944,1872.6435310840607,2.490186386299133,0.3557,37.25927472114563
4,2.309619337425232,0.39128,2351.6643631458282,2.3172478399276732,0.3919,37.304184913635254
